"Julianday","pH.A","Temp.A","Sal.A","Ox.A","pH.B","Temp.B","Sal.B","Ox.B","Temp.AF","Temp.BF"
117.915277777778,7.96,18.4,37.1,8.39,8.24,18.2,37.5,0,17.7,19.8
117.91875,7.96,18.4,37.1,8.39,8.24,18.2,37.5,0,17.7,19.8
117.922222222222,7.96,18.4,37.1,8.39,8.26,16.8,37.6,0,17.7,19.8
117.925694444444,7.96,18.4,37.2,8.39,8.27,16.5,37.7,0,17.5,19.8
117.929166666667,7.96,18.5,37.2,8.38,8.26,16.4,37.7,0,17.5,19.8
117.932638888889,7.96,18.5,37.1,8.39,8.27,16.4,37.7,0,17.5,19.8
117.936111111111,7.96,18.5,37.2,8.4,8.27,16.3,37.6,0,17.3,19.8
117.939583333333,7.95,18.5,37.1,8.38,8.26,16.3,37.7,0,17.3,19.8
117.943055555556,7.95,18.5,37.1,8.38,8.27,16.3,37.8,0,17.3,19.8
117.946527777778,7.96,18.5,37.1,8.38,8.27,16.2,37.7,0,17.3,19.8
117.95,7.96,18.5,37.1,8.37,8.26,16.2,37.7,0,17.1,19.8
117.953472222222,7.97,17.8,37.1,8.6,8.26,16.3,37.7,0,17.1,19.8
117.956944444444,7.98,16.8,37.4,8.7,8.26,16.4,37.6,0,17.1,19.8
117.960416666667,7.98,16.7,37.4,8.67,8.27,16.4,37.6,0,17.1,19.8
117.963888888889,7.98,16.7,37.3,8.67,8.26,16.4,37.6,0,16.9,19.6
117.967361111111,7.97,16.8,37.4,8.67,8.26,16.5,37.7,0,16.9,19.6
117.970833333333,7.98,16.8,37.3,8.67,8.26,16.4,37.7,0,16.9,19.6
117.974305555556,7.97,16.9,37.4,8.68,8.26,16.4,37.7,0,16.9,19.6
117.977777777778,7.98,16.9,37.4,8.68,8.25,16.4,37.7,0,16.9,19.6
117.98125,7.97,16.9,37.4,8.67,8.26,16.4,37.7,0,16.9,19.4
117.984722222222,7.98,16.9,37.4,8.65,8.26,16.4,37.7,0,16.9,19.4
117.988194444444,7.98,16.8,37.3,8.67,8.26,16.4,37.7,0,16.9,19.4
117.991666666667,7.98,16.8,37.3,8.68,8.26,16.4,37.7,0,16.7,19.4
117.995138888889,7.98,16.8,37.4,8.68,8.26,16.4,37.7,0,16.7,19.4
117.998611111111,7.98,16.8,37.4,8.69,8.26,16.3,37.6,0,16.7,19.2
118.002083333333,7.98,16.8,37.4,8.7,8.26,16.3,37.6,0,16.7,19.2
118.005555555556,7.98,16.7,37.4,8.71,8.25,16.3,37.7,0,16.7,19.2
118.009027777778,7.98,16.7,37.4,8.73,8.26,16.3,37.6,0,16.7,19.2
118.0125,7.98,16.7,37.4,8.73,8.26,16.3,37.6,0,16.7,19.2
118.015972222222,7.97,16.7,37.4,8.74,8.26,16.2,37.8,0,16.7,19.2
118.019444444444,7.98,16.6,37.4,8.74,8.26,16.2,37.7,0,16.7,19
118.022916666667,7.98,16.6,37.4,8.74,8.26,16.2,37.7,0,16.7,19
118.026388888889,7.98,16.6,37.4,8.76,8.26,16.2,37.7,0,16.5,19
118.029861111111,7.98,16.5,37.4,8.77,8.26,16.2,37.6,0,16.5,19
118.033333333333,7.98,16.5,37.4,8.78,8.26,16.2,37.7,0,16.5,19
118.036805555556,7.98,16.5,37.5,8.79,8.26,16.1,37.7,0,16.5,19
118.040277777778,7.98,16.5,37.4,8.8,8.26,16.1,37.7,0,16.5,18.8
118.04375,7.98,16.4,37.4,8.81,8.26,16.1,37.7,0,16.5,18.8
118.047222222222,7.99,16.4,37.5,8.82,8.27,16.1,37.7,0,16.5,18.8
118.050694444444,7.98,16.4,37.5,8.82,8.26,16.1,37.7,0,16.5,18.8
118.054166666667,7.98,16.3,37.5,8.84,8.26,16.1,37.7,0,16.5,18.8
118.057638888889,7.99,16.3,37.5,8.84,8.27,16,37.8,0,16.5,18.8
118.061111111111,7.98,16.3,37.5,8.83,8.26,16,37.8,0,16.5,18.8
118.064583333333,7.98,16.2,37.5,8.84,8.26,16,37.7,0,16.3,18.6
118.068055555556,7.98,16.2,37.5,8.87,8.26,16,37.8,0,16.3,18.6
118.071527777778,7.99,16.2,37.5,8.89,8.26,16,37.7,0,16.3,18.6
118.075,7.98,16.2,37.5,8.88,8.26,16,37.7,0,16.3,18.6
